atari-cabinet	Atari Cabinet	202	270	paintlands	39.5	rc=0
board-gauntlet	Board Gauntlet	766	277	tabletop	22.9	rc=0
chemistry	Chemistry	416	574	commons	22.9	rc=0
chorus	Chorus	440	571	commons	23.4	rc=0
citysim	CitySim Ladder	536	271	simulations	69.0	rc=0
cogchemists	Cogchemists	790	280	tabletop	23.4	rc=0
cogiavelli	Cogiavelli	751	295	tabletop	23.4	rc=0
cogmud	Cogmud	446	544	commons	22.9	rc=0
cogolf	Cogolf	181	279	paintlands	22.9	rc=0
cogplomacy	Cogplomacy	760	316	tabletop	22.9	rc=0
coins	Coins	404	544	commons	22.9	rc=0
collab-cooking	Collab Cooking	425	529	commons	24.0	rc=0
commons-family	Commons Family	395	565	commons	22.9	rc=0
cooperative-hunting	Coop Hunting	461	562	commons	22.9	rc=0
daycare	Daycare	193	586	shire	22.9	rc=0
factory-commons	Factory Commons	446	520	commons	22.9	rc=0
firm	Firm	404	520	commons	22.9	rc=0
flatland	Flatland	557	280	simulations	22.9	rc=0
fog-of-war-boards	Fog of War	784	319	tabletop	22.9	rc=0
fruit-market	Fruit Market	467	535	commons	22.9	rc=0
garble	Garble	432	823	parlour	30.9	rc=0
gift-refinements	Gift Refinements	428	505	commons	23.4	rc=0
goofspiel-oshi-zumo	Goofspiel	799	301	tabletop	22.9	rc=0
grf-football	GRF Football	184	255	paintlands	23.4	rc=0
grid-wars	Grid Wars	199	294	paintlands	23.4	rc=0
hanabi	Hanabi	781	259	tabletop	22.9	rc=0
hidden-agenda	Hidden Agenda	453	832	parlour	22.9	rc=0
knights-archers	Knights-Archers	383	535	commons	22.9	rc=0
liars-dice	Liars Dice	814	283	tabletop	23.4	rc=0
lux-ai	Lux AI	220	285	paintlands	22.9	rc=0
magent-battle	MAgent Battle	223	261	paintlands	22.9	rc=0
matrix-games	Matrix Games	398	589	commons	23.4	rc=0
negotiation-games	Negotiation	458	586	commons	23.4	rc=0
particle-worlds	Particle Worlds	554	256	simulations	23.4	rc=0
pistonball	Pistonball	374	556	commons	22.4	rc=0
rware-warehouse	RWARE Warehouse	413	607	commons	22.5	rc=0
smac-starcraft-micro	SMAC Micro	199	237	paintlands	23.0	rc=0
territory	Territory	482	553	commons	22.9	rc=0
trick-taking	Trick-Taking	808	322	tabletop	22.9	rc=0
walker-waterworld	Waterworld	479	577	commons	22.9	rc=0
pommerman	Pommerman	163	264	paintlands	22.9	rc=0
